fecha,nombre_entidad,valor_unidad
2016-01-01,"""Proteccion""",39207.35
2016-01-01,"""Porvenir""",36085.18
2016-01-01,Skandia Afp - Accai S.A.,27599.43
2016-01-01,"""Colfondos S.A."" Y ""Colfondos""",32470.17
2016-01-02,"""Proteccion""",39215.77
2016-01-02,"""Porvenir""",36093.0
2016-01-02,Skandia Afp - Accai S.A.,27605.56
2016-01-02,"""Colfondos S.A."" Y ""Colfondos""",32477.24
2016-01-03,"""Proteccion""",39224.15
2016-01-03,"""Porvenir""",36100.84
2016-01-03,Skandia Afp - Accai S.A.,27611.7
2016-01-03,"""Colfondos S.A."" Y ""Colfondos""",32484.26
2016-01-04,"""Proteccion""",39047.74
2016-01-04,"""Porvenir""",35949.16
2016-01-04,Skandia Afp - Accai S.A.,27498.68
2016-01-04,"""Colfondos S.A."" Y ""Colfondos""",32338.17
2016-01-05,"""Proteccion""",39045.5
2016-01-05,"""Porvenir""",35954.54
2016-01-05,Skandia Afp - Accai S.A.,27478.02
2016-01-05,"""Colfondos S.A."" Y ""Colfondos""",32336.33
2016-01-06,"""Proteccion""",38967.72
2016-01-06,"""Porvenir""",35892.0
2016-01-06,Skandia Afp - Accai S.A.,27435.98
2016-01-06,"""Colfondos S.A."" Y ""Colfondos""",32275.98
2016-01-07,"""Proteccion""",38786.42
2016-01-07,"""Porvenir""",35735.06
2016-01-07,Skandia Afp - Accai S.A.,27322.23
2016-01-07,"""Colfondos S.A."" Y ""Colfondos""",32131.1
2016-01-08,"""Proteccion""",38710.28
2016-01-08,"""Porvenir""",35667.2
2016-01-08,Skandia Afp - Accai S.A.,27278.3
2016-01-08,"""Colfondos S.A."" Y ""Colfondos""",32074.85
2016-01-09,"""Proteccion""",38718.97
2016-01-09,"""Porvenir""",35675.24
2016-01-09,Skandia Afp - Accai S.A.,27284.48
2016-01-09,"""Colfondos S.A."" Y ""Colfondos""",32082.03
2016-01-10,"""Proteccion""",38727.38
2016-01-10,"""Porvenir""",35683.53
2016-01-10,Skandia Afp - Accai S.A.,27290.51
2016-01-10,"""Colfondos S.A."" Y ""Colfondos""",32089.15
2016-01-11,"""Proteccion""",38735.6
2016-01-11,"""Porvenir""",35691.28
2016-01-11,Skandia Afp - Accai S.A.,27296.6
2016-01-11,"""Colfondos S.A."" Y ""Colfondos""",32096.23
2016-01-12,"""Proteccion""",38680.73
2016-01-12,"""Porvenir""",35645.77
2016-01-12,Skandia Afp - Accai S.A.,27274.74
2016-01-12,"""Colfondos S.A."" Y ""Colfondos""",32055.0
2016-01-13,"""Proteccion""",38697.56
2016-01-13,"""Porvenir""",35641.42
2016-01-13,Skandia Afp - Accai S.A.,27278.25
2016-01-13,"""Colfondos S.A."" Y ""Colfondos""",32046.73
2016-01-14,"""Proteccion""",38798.85
2016-01-14,"""Porvenir""",35745.58
2016-01-14,Skandia Afp - Accai S.A.,27361.5
2016-01-14,"""Colfondos S.A."" Y ""Colfondos""",32136.83
2016-01-15,"""Proteccion""",38638.85
2016-01-15,"""Porvenir""",35604.78
2016-01-15,Skandia Afp - Accai S.A.,27247.26
2016-01-15,"""Colfondos S.A."" Y ""Colfondos""",32006.94
2016-01-16,"""Proteccion""",38647.85
2016-01-16,"""Porvenir""",35612.84
2016-01-16,Skandia Afp - Accai S.A.,27253.63
2016-01-16,"""Colfondos S.A."" Y ""Colfondos""",32014.23
2016-01-17,"""Proteccion""",38656.53
2016-01-17,"""Porvenir""",35621.28
2016-01-17,Skandia Afp - Accai S.A.,27259.98
2016-01-17,"""Colfondos S.A."" Y ""Colfondos""",32021.55
2016-01-18,"""Proteccion""",38563.99
2016-01-18,"""Porvenir""",35550.26
2016-01-18,Skandia Afp - Accai S.A.,27212.7
2016-01-18,"""Colfondos S.A."" Y ""Colfondos""",31961.29
2016-01-19,"""Proteccion""",38660.13
2016-01-19,"""Porvenir""",35636.24
2016-01-19,Skandia Afp - Accai S.A.,27270.41
2016-01-19,"""Colfondos S.A."" Y ""Colfondos""",32025.08
2016-01-20,"""Proteccion""",38496.87
2016-01-20,"""Porvenir""",35516.78
2016-01-20,Skandia Afp - Accai S.A.,27162.2
2016-01-20,"""Colfondos S.A."" Y ""Colfondos""",31883.79
2016-01-21,"""Proteccion""",38562.89
2016-01-21,"""Porvenir""",35578.45
2016-01-21,Skandia Afp - Accai S.A.,27212.02
2016-01-21,"""Colfondos S.A."" Y ""Colfondos""",31945.96
2016-01-22,"""Proteccion""",38761.13
2016-01-22,"""Porvenir""",35732.19
2016-01-22,Skandia Afp - Accai S.A.,27341.14
2016-01-22,"""Colfondos S.A."" Y ""Colfondos""",32112.36
2016-01-23,"""Proteccion""",38769.82
2016-01-23,"""Porvenir""",35740.24
2016-01-23,Skandia Afp - Accai S.A.,27347.5
2016-01-23,"""Colfondos S.A."" Y ""Colfondos""",32119.57
2016-01-24,"""Proteccion""",38778.45
2016-01-24,"""Porvenir""",35748.32
2016-01-24,Skandia Afp - Accai S.A.,27353.87
2016-01-24,"""Colfondos S.A."" Y ""Colfondos""",32126.77
