fecha,nombre_entidad,valor_unidad
2016-01-01,"""Proteccion""",38410.19
2016-01-01,"""Porvenir""",34343.51
2016-01-01,Skandia Afp - Accai S.A.,26374.4
2016-01-01,"""Colfondos S.A."" Y ""Colfondos""",33530.89
2016-01-02,"""Proteccion""",38414.4
2016-01-02,"""Porvenir""",34347.12
2016-01-02,Skandia Afp - Accai S.A.,26377.33
2016-01-02,"""Colfondos S.A."" Y ""Colfondos""",33534.46
2016-01-03,"""Proteccion""",38418.67
2016-01-03,"""Porvenir""",34350.74
2016-01-03,Skandia Afp - Accai S.A.,26380.22
2016-01-03,"""Colfondos S.A."" Y ""Colfondos""",33538.01
2016-01-04,"""Proteccion""",37938.37
2016-01-04,"""Porvenir""",33944.57
2016-01-04,Skandia Afp - Accai S.A.,26032.41
2016-01-04,"""Colfondos S.A."" Y ""Colfondos""",33106.35
2016-01-05,"""Proteccion""",38014.77
2016-01-05,"""Porvenir""",33957.25
2016-01-05,Skandia Afp - Accai S.A.,26037.52
2016-01-05,"""Colfondos S.A."" Y ""Colfondos""",33115.15
2016-01-06,"""Proteccion""",37768.72
2016-01-06,"""Porvenir""",33757.03
2016-01-06,Skandia Afp - Accai S.A.,25867.16
2016-01-06,"""Colfondos S.A."" Y ""Colfondos""",32922.92
2016-01-07,"""Proteccion""",37287.48
2016-01-07,"""Porvenir""",33327.2
2016-01-07,Skandia Afp - Accai S.A.,25572.54
2016-01-07,"""Colfondos S.A."" Y ""Colfondos""",32529.75
2016-01-08,"""Proteccion""",37024.4
2016-01-08,"""Porvenir""",33052.22
2016-01-08,Skandia Afp - Accai S.A.,25361.03
2016-01-08,"""Colfondos S.A."" Y ""Colfondos""",32260.55
2016-01-09,"""Proteccion""",37027.45
2016-01-09,"""Porvenir""",33055.79
2016-01-09,Skandia Afp - Accai S.A.,25363.87
2016-01-09,"""Colfondos S.A."" Y ""Colfondos""",32263.83
2016-01-10,"""Proteccion""",37031.06
2016-01-10,"""Porvenir""",33059.38
2016-01-10,Skandia Afp - Accai S.A.,25366.72
2016-01-10,"""Colfondos S.A."" Y ""Colfondos""",32266.72
2016-01-11,"""Proteccion""",37034.87
2016-01-11,"""Porvenir""",33062.92
2016-01-11,Skandia Afp - Accai S.A.,25369.5
2016-01-11,"""Colfondos S.A."" Y ""Colfondos""",32269.98
2016-01-12,"""Proteccion""",36855.53
2016-01-12,"""Porvenir""",32910.12
2016-01-12,Skandia Afp - Accai S.A.,25269.6
2016-01-12,"""Colfondos S.A."" Y ""Colfondos""",32136.12
2016-01-13,"""Proteccion""",36927.2
2016-01-13,"""Porvenir""",32958.47
2016-01-13,Skandia Afp - Accai S.A.,25326.11
2016-01-13,"""Colfondos S.A."" Y ""Colfondos""",32150.07
2016-01-14,"""Proteccion""",37173.19
2016-01-14,"""Porvenir""",33253.2
2016-01-14,Skandia Afp - Accai S.A.,25559.54
2016-01-14,"""Colfondos S.A."" Y ""Colfondos""",32436.15
2016-01-15,"""Proteccion""",36646.54
2016-01-15,"""Porvenir""",32768.98
2016-01-15,Skandia Afp - Accai S.A.,25199.34
2016-01-15,"""Colfondos S.A."" Y ""Colfondos""",31981.27
2016-01-16,"""Proteccion""",36649.9
2016-01-16,"""Porvenir""",32772.8
2016-01-16,Skandia Afp - Accai S.A.,25202.5
2016-01-16,"""Colfondos S.A."" Y ""Colfondos""",31985.06
2016-01-17,"""Proteccion""",36654.68
2016-01-17,"""Porvenir""",32776.6
2016-01-17,Skandia Afp - Accai S.A.,25205.67
2016-01-17,"""Colfondos S.A."" Y ""Colfondos""",31988.83
2016-01-18,"""Proteccion""",36431.54
2016-01-18,"""Porvenir""",32556.73
2016-01-18,Skandia Afp - Accai S.A.,25041.03
2016-01-18,"""Colfondos S.A."" Y ""Colfondos""",31800.13
2016-01-19,"""Proteccion""",36777.37
2016-01-19,"""Porvenir""",32867.15
2016-01-19,Skandia Afp - Accai S.A.,25223.72
2016-01-19,"""Colfondos S.A."" Y ""Colfondos""",32033.19
2016-01-20,"""Proteccion""",36482.76
2016-01-20,"""Porvenir""",32632.94
2016-01-20,Skandia Afp - Accai S.A.,25037.81
2016-01-20,"""Colfondos S.A."" Y ""Colfondos""",31824.37
2016-01-21,"""Proteccion""",36641.99
2016-01-21,"""Porvenir""",32748.83
2016-01-21,Skandia Afp - Accai S.A.,25198.01
2016-01-21,"""Colfondos S.A."" Y ""Colfondos""",31954.6
2016-01-22,"""Proteccion""",37256.4
2016-01-22,"""Porvenir""",33255.75
2016-01-22,Skandia Afp - Accai S.A.,25623.78
2016-01-22,"""Colfondos S.A."" Y ""Colfondos""",32422.94
2016-01-23,"""Proteccion""",37260.12
2016-01-23,"""Porvenir""",33259.46
2016-01-23,Skandia Afp - Accai S.A.,25626.84
2016-01-23,"""Colfondos S.A."" Y ""Colfondos""",32426.61
2016-01-24,"""Proteccion""",37264.9
2016-01-24,"""Porvenir""",33263.19
2016-01-24,Skandia Afp - Accai S.A.,25629.92
2016-01-24,"""Colfondos S.A."" Y ""Colfondos""",32430.32
2016-01-25,"""Proteccion""",37204.2
2016-01-25,"""Porvenir""",33224.01
2016-01-25,Skandia Afp - Accai S.A.,25538.91
2016-01-25,"""Colfondos S.A."" Y ""Colfondos""",32424.11
2016-01-26,"""Proteccion""",37422.95
2016-01-26,"""Porvenir""",33450.76
2016-01-26,Skandia Afp - Accai S.A.,25700.05
2016-01-26,"""Colfondos S.A."" Y ""Colfondos""",32643.02
2016-01-27,"""Proteccion""",37419.09
2016-01-27,"""Porvenir""",33431.13
2016-01-27,Skandia Afp - Accai S.A.,25710.85
2016-01-27,"""Colfondos S.A."" Y ""Colfondos""",32633.24
2016-01-28,"""Proteccion""",37443.23
2016-01-28,"""Porvenir""",33428.22
2016-01-28,Skandia Afp - Accai S.A.,25729.05
2016-01-28,"""Colfondos S.A."" Y ""Colfondos""",32636.52
2016-01-29,"""Proteccion""",37789.93
2016-01-29,"""Porvenir""",33797.43
2016-01-29,Skandia Afp - Accai S.A.,25963.52
2016-01-29,"""Colfondos S.A."" Y ""Colfondos""",32939.58
2016-01-30,"""Proteccion""",37794.56
2016-01-30,"""Porvenir""",33801.02
2016-01-30,Skandia Afp - Accai S.A.,25966.32
2016-01-30,"""Colfondos S.A."" Y ""Colfondos""",32943.09
2016-01-31,"""Proteccion""",37798.17
2016-01-31,"""Porvenir""",33804.57
2016-01-31,Skandia Afp - Accai S.A.,25968.94
2016-01-31,"""Colfondos S.A."" Y ""Colfondos""",32947.02
