fecha,nombre_entidad,valor_unidad
2016-01-01,"""Proteccion""",37972.06
2016-01-01,"""Porvenir""",34476.39
2016-01-01,Skandia Afp - Accai S.A.,27537.9
2016-01-01,"""Colfondos S.A."" Y ""Colfondos""",30713.58
2016-01-02,"""Proteccion""",37977.34
2016-01-02,"""Porvenir""",34480.89
2016-01-02,Skandia Afp - Accai S.A.,27541.82
2016-01-02,"""Colfondos S.A."" Y ""Colfondos""",30717.71
2016-01-03,"""Proteccion""",37982.46
2016-01-03,"""Porvenir""",34485.36
2016-01-03,Skandia Afp - Accai S.A.,27545.57
2016-01-03,"""Colfondos S.A."" Y ""Colfondos""",30721.77
2016-01-04,"""Proteccion""",37702.93
2016-01-04,"""Porvenir""",34314.07
2016-01-04,Skandia Afp - Accai S.A.,27332.44
2016-01-04,"""Colfondos S.A."" Y ""Colfondos""",30499.19
2016-01-05,"""Proteccion""",37751.98
2016-01-05,"""Porvenir""",34329.28
2016-01-05,Skandia Afp - Accai S.A.,27333.74
2016-01-05,"""Colfondos S.A."" Y ""Colfondos""",30509.19
2016-01-06,"""Proteccion""",37648.44
2016-01-06,"""Porvenir""",34260.63
2016-01-06,Skandia Afp - Accai S.A.,27353.14
2016-01-06,"""Colfondos S.A."" Y ""Colfondos""",30437.79
2016-01-07,"""Proteccion""",37352.34
2016-01-07,"""Porvenir""",34008.5
2016-01-07,Skandia Afp - Accai S.A.,27153.47
2016-01-07,"""Colfondos S.A."" Y ""Colfondos""",30198.87
2016-01-08,"""Proteccion""",37141.78
2016-01-08,"""Porvenir""",33799.46
2016-01-08,Skandia Afp - Accai S.A.,27008.51
2016-01-08,"""Colfondos S.A."" Y ""Colfondos""",30023.97
2016-01-09,"""Proteccion""",37147.07
2016-01-09,"""Porvenir""",33804.05
2016-01-09,Skandia Afp - Accai S.A.,27012.18
2016-01-09,"""Colfondos S.A."" Y ""Colfondos""",30028.09
2016-01-10,"""Proteccion""",37152.28
2016-01-10,"""Porvenir""",33808.55
2016-01-10,Skandia Afp - Accai S.A.,27016.04
2016-01-10,"""Colfondos S.A."" Y ""Colfondos""",30032.21
2016-01-11,"""Proteccion""",37157.55
2016-01-11,"""Porvenir""",33813.13
2016-01-11,Skandia Afp - Accai S.A.,27019.88
2016-01-11,"""Colfondos S.A."" Y ""Colfondos""",30036.29
2016-01-12,"""Proteccion""",36977.11
2016-01-12,"""Porvenir""",33657.19
2016-01-12,Skandia Afp - Accai S.A.,26928.83
2016-01-12,"""Colfondos S.A."" Y ""Colfondos""",29907.29
2016-01-13,"""Proteccion""",37003.54
2016-01-13,"""Porvenir""",33692.13
2016-01-13,Skandia Afp - Accai S.A.,26941.89
2016-01-13,"""Colfondos S.A."" Y ""Colfondos""",29891.07
2016-01-14,"""Proteccion""",37186.38
2016-01-14,"""Porvenir""",33846.71
