fecha,nombre_entidad,valor_unidad
2016-01-01,"""Proteccion""",23322.6
2016-01-01,"""Porvenir""",26546.21
2016-01-01,Skandia Afp - Accai S.A.,28882.18
2016-01-01,"""Colfondos S.A."" Y ""Colfondos""",21589.17
2016-01-02,"""Proteccion""",23325.08
2016-01-02,"""Porvenir""",26549.05
2016-01-02,Skandia Afp - Accai S.A.,28886.8
2016-01-02,"""Colfondos S.A."" Y ""Colfondos""",21592.01
2016-01-03,"""Proteccion""",23327.55
2016-01-03,"""Porvenir""",26551.96
2016-01-03,Skandia Afp - Accai S.A.,28891.5
2016-01-03,"""Colfondos S.A."" Y ""Colfondos""",21594.86
2016-01-04,"""Proteccion""",23331.78
2016-01-04,"""Porvenir""",26549.91
2016-01-04,Skandia Afp - Accai S.A.,28888.81
2016-01-04,"""Colfondos S.A."" Y ""Colfondos""",21597.08
2016-01-05,"""Proteccion""",23333.91
2016-01-05,"""Porvenir""",26553.76
2016-01-05,Skandia Afp - Accai S.A.,28894.75
2016-01-05,"""Colfondos S.A."" Y ""Colfondos""",21601.26
2016-01-06,"""Proteccion""",23339.2
2016-01-06,"""Porvenir""",26563.93
2016-01-06,Skandia Afp - Accai S.A.,28903.94
2016-01-06,"""Colfondos S.A."" Y ""Colfondos""",21603.88
2016-01-07,"""Proteccion""",23341.79
2016-01-07,"""Porvenir""",26562.93
2016-01-07,Skandia Afp - Accai S.A.,28904.73
2016-01-07,"""Colfondos S.A."" Y ""Colfondos""",21606.29
2016-01-08,"""Proteccion""",23349.3
2016-01-08,"""Porvenir""",26562.01
2016-01-08,Skandia Afp - Accai S.A.,28902.17
2016-01-08,"""Colfondos S.A."" Y ""Colfondos""",21606.92
2016-01-09,"""Proteccion""",23351.84
2016-01-09,"""Porvenir""",26566.48
2016-01-09,Skandia Afp - Accai S.A.,28907.29
2016-01-09,"""Colfondos S.A."" Y ""Colfondos""",21609.7
2016-01-10,"""Proteccion""",23354.35
2016-01-10,"""Porvenir""",26569.81
2016-01-10,Skandia Afp - Accai S.A.,28912.39
2016-01-10,"""Colfondos S.A."" Y ""Colfondos""",21612.6
2016-01-11,"""Proteccion""",23356.89
2016-01-11,"""Porvenir""",26573.17
2016-01-11,Skandia Afp - Accai S.A.,28917.49
2016-01-11,"""Colfondos S.A."" Y ""Colfondos""",21615.53
2016-01-12,"""Proteccion""",23360.28
2016-01-12,"""Porvenir""",26578.86
2016-01-12,Skandia Afp - Accai S.A.,28923.69
2016-01-12,"""Colfondos S.A."" Y ""Colfondos""",21618.54
2016-01-13,"""Proteccion""",23363.79
2016-01-13,"""Porvenir""",26584.5
