fecha,nombre_entidad,valor_unidad
2016-01-01,"""Proteccion""",23375.96
2016-01-01,"""Porvenir""",27382.34
2016-01-01,Skandia Afp - Accai S.A.,28771.14
2016-01-01,"""Colfondos S.A."" Y ""Colfondos""",23733.32
2016-01-02,"""Proteccion""",23377.89
2016-01-02,"""Porvenir""",27384.66
2016-01-02,Skandia Afp - Accai S.A.,28773.97
2016-01-02,"""Colfondos S.A."" Y ""Colfondos""",23735.4
2016-01-03,"""Proteccion""",23379.73
2016-01-03,"""Porvenir""",27386.98
2016-01-03,Skandia Afp - Accai S.A.,28776.8
2016-01-03,"""Colfondos S.A."" Y ""Colfondos""",23737.41
2016-01-04,"""Proteccion""",23197.08
2016-01-04,"""Porvenir""",27172.99
2016-01-04,Skandia Afp - Accai S.A.,28569.98
2016-01-04,"""Colfondos S.A."" Y ""Colfondos""",23566.9
2016-01-05,"""Proteccion""",23232.82
2016-01-05,"""Porvenir""",27217.27
2016-01-05,Skandia Afp - Accai S.A.,28571.98
2016-01-05,"""Colfondos S.A."" Y ""Colfondos""",23570.66
2016-01-06,"""Proteccion""",23137.37
2016-01-06,"""Porvenir""",27108.71
2016-01-06,Skandia Afp - Accai S.A.,28478.69
2016-01-06,"""Colfondos S.A."" Y ""Colfondos""",23504.99
2016-01-07,"""Proteccion""",22952.25
2016-01-07,"""Porvenir""",26910.32
2016-01-07,Skandia Afp - Accai S.A.,28304.29
2016-01-07,"""Colfondos S.A."" Y ""Colfondos""",23352.78
2016-01-08,"""Proteccion""",22874.02
2016-01-08,"""Porvenir""",26803.13
2016-01-08,Skandia Afp - Accai S.A.,28212.77
2016-01-08,"""Colfondos S.A."" Y ""Colfondos""",23251.74
2016-01-09,"""Proteccion""",22875.84
2016-01-09,"""Porvenir""",26805.52
2016-01-09,Skandia Afp - Accai S.A.,28215.61
2016-01-09,"""Colfondos S.A."" Y ""Colfondos""",23253.65
2016-01-10,"""Proteccion""",22877.74
2016-01-10,"""Porvenir""",26808.4
2016-01-10,Skandia Afp - Accai S.A.,28217.89
2016-01-10,"""Colfondos S.A."" Y ""Colfondos""",23255.38
2016-01-11,"""Proteccion""",22879.81
2016-01-11,"""Porvenir""",26810.74
2016-01-11,Skandia Afp - Accai S.A.,28220.74
2016-01-11,"""Colfondos S.A."" Y ""Colfondos""",23257.45
2016-01-12,"""Proteccion""",22815.33
2016-01-12,"""Porvenir""",26734.59
2016-01-12,Skandia Afp - Accai S.A.,28137.65
2016-01-12,"""Colfondos S.A."" Y ""Colfondos""",23166.46
2016-01-13,"""Proteccion""",22852.97
2016-01-13,"""Porvenir""",26768.36
2016-01-13,Skandia Afp - Accai S.A.,28194.83
2016-01-13,"""Colfondos S.A."" Y ""Colfondos""",23198.91
2016-01-14,"""Proteccion""",22967.12
2016-01-14,"""Porvenir""",26900.5
2016-01-14,Skandia Afp - Accai S.A.,28347.49
2016-01-14,"""Colfondos S.A."" Y ""Colfondos""",23305.54
2016-01-15,"""Proteccion""",22782.13
2016-01-15,"""Porvenir""",26681.39
2016-01-15,Skandia Afp - Accai S.A.,28129.46
2016-01-15,"""Colfondos S.A."" Y ""Colfondos""",23140.9
2016-01-16,"""Proteccion""",22783.73
2016-01-16,"""Porvenir""",26683.95
2016-01-16,Skandia Afp - Accai S.A.,28132.53
2016-01-16,"""Colfondos S.A."" Y ""Colfondos""",23143.06
2016-01-17,"""Proteccion""",22785.85
2016-01-17,"""Porvenir""",26686.49
2016-01-17,Skandia Afp - Accai S.A.,28135.61
2016-01-17,"""Colfondos S.A."" Y ""Colfondos""",23145.22
2016-01-18,"""Proteccion""",22695.15
2016-01-18,"""Porvenir""",26591.36
2016-01-18,Skandia Afp - Accai S.A.,28041.03
2016-01-18,"""Colfondos S.A."" Y ""Colfondos""",23050.57
2016-01-19,"""Proteccion""",22794.21
2016-01-19,"""Porvenir""",26712.23
2016-01-19,Skandia Afp - Accai S.A.,28150.4
2016-01-19,"""Colfondos S.A."" Y ""Colfondos""",23116.97
2016-01-20,"""Proteccion""",22677.67
2016-01-20,"""Porvenir""",26567.44
2016-01-20,Skandia Afp - Accai S.A.,28035.81
2016-01-20,"""Colfondos S.A."" Y ""Colfondos""",23020.66
2016-01-21,"""Proteccion""",22762.0
2016-01-21,"""Porvenir""",26669.85
2016-01-21,Skandia Afp - Accai S.A.,28152.67
2016-01-21,"""Colfondos S.A."" Y ""Colfondos""",23079.6
2016-01-22,"""Proteccion""",22977.77
2016-01-22,"""Porvenir""",26913.05
2016-01-22,Skandia Afp - Accai S.A.,28386.48
2016-01-22,"""Colfondos S.A."" Y ""Colfondos""",23276.71
2016-01-23,"""Proteccion""",22979.01
2016-01-23,"""Porvenir""",26915.71
2016-01-23,Skandia Afp - Accai S.A.,28389.24
2016-01-23,"""Colfondos S.A."" Y ""Colfondos""",23278.74
2016-01-24,"""Proteccion""",22981.76
2016-01-24,"""Porvenir""",26919.24
2016-01-24,Skandia Afp - Accai S.A.,28392.08
2016-01-24,"""Colfondos S.A."" Y ""Colfondos""",23280.88
